source_type,source_id,parent_id,source_guid,Name,SEName,Description,Summary,SETitle,SEDescription,SEKeywords,DisplayOrder,Published
category,118,4,C731DF5F-4F6F-4A36-93FB-44CA32C49AD0,Mercury Trophies,mercury-trophies,,,Mercury Trophies,Mercury Trophies are unique silver resin abstract trophies that are non gender specific.  Free personalization & shipping.,"Mercury Trophies, Silver Trophies, Abstract Trophies",25,0
category,119,4,E608536A-C1EB-4825-85E3-F390129DD201,Trophy Sets,trophy-sets,,,Trophy Sets,,Trophy Sets,42,1
category,120,4,10CC2B55-0819-4E85-AAAA-CA8F489940AF, Full Size Sports Ball Trophies,full-size-sports-ball-trophies,,,Full Size Sports Ball Trophies,Full Size Sports Ball Trophies make great coach or player awards.  Regulation sized baslls with free personalization.  Rush service.,Full Size Sports Ball Trophies,11,1
category,121,4,90952321-07DB-4CA9-9FD4-446D710874F8,Special Edition Trophies,special-edition-trophies,,,Special Edition Trophies ,Special Edition Trophies are double action two sided trophies made from resin.  Free shipping & Personalization.  Rush service.  Easy to order.,Special Edition Trophies,31,0
category,122,4,89DA981D-2F9D-427E-A4A4-8892C3EC75CB,Diamond Plate Trophies,diamond-plate-trophies,,,Diamond Plate Trophies,,Diamond Plate Trophies,20,0
category,125,4,EF1C1F71-A535-454A-9140-80E25FF69FD2,3D Plaques,3d-plaques,,,3D Sports Plaques | Ribbon Holder Plaques,,"3D Sports Plaques, Ribbon Holder Plaques",12,1
category,127,180,4D830D74-F74E-4B73-9E54-DFD727658DD0,Mascot Trophies,mascot-trophies,,,Mascot Trophies ,Resin Mascot Trophies are great for school or sports awards and feature all major mascots.  Free personalization included.,"Mascot Trophies, Resin Mascot Trophies",1,1
category,130,4,8DE59068-A381-4585-BDF2-D8B2480A6541,Silver Wine Cooler Trophies,silver-wine-cooler-trophies,,,Silver Wine Cooler Trophies,,Silver Wine Cooler Trophies,41,0
category,133,4,0AF8B783-B4B0-49E5-A7B5-CABC0CAB2D14,Teamwork Trophies,teamwork-trophies,,,Teamwork Trophies | Teamwork Plaques | Teamwork Awards,Teamwork Trophies and Awards recognize those individuals that worked as a group to accomplish a goal.  Free personalization & shipping.,"Teamwork Trophies, Teamwork Plaques, Teamwork Awards",39,1
category,134,4,1EA4F7E9-0AD1-4C8E-9AEB-CB6460D8AE31,Sportsmanship Trophies ,sportsmanship-trophies,,,Sportsmanship Trophies,,"Sportsmanship Trophies, Sportsmanship Awards",37,0
